subject,run,trial_nr,n1,n2,p1,p2,risky_first,choice,rt
101,3.0,234.0,6.02,12.17,1.0,0.55,False,True,1.0044487000000115
101,3.0,236.0,9.32,36.15,1.0,0.55,False,True,1.0751137000002018
101,3.0,238.0,23.08,37.74,1.0,0.55,False,True,0.9454906999999366
101,3.0,240.0,15.91,59.62,1.0,0.55,False,False,1.1812910000003285
101,3.0,242.0,10.0,14.87,1.0,0.55,False,False,1.1104458000004342
101,3.0,244.0,24.45,42.41,1.0,0.55,False,False,0.8040106999997079
101,3.0,246.0,8.83,15.12,1.0,0.55,False,True,0.862945899999886
101,3.0,248.0,21.41,66.28,1.0,0.55,False,True,0.9809040999998616
101,3.0,250.0,12.88,27.46,1.0,0.55,False,True,1.346294499999658
101,3.0,252.0,12.94,24.8,1.0,0.55,False,True,0.8275982000000113
101,3.0,254.0,6.99,12.89,1.0,0.55,False,True,1.2521130000000085
101,3.0,256.0,10.44,40.57,1.0,0.55,False,True,1.0044686999999612
101,4.0,225.0,70.22,21.66,0.55,1.0,True,True,0.9454032999997252
